GUID 9d8b6ac86f784456943a55b66ddde776
Blueprint_71_Products 2
Blueprint_71_Level 1
Blueprint_71_Skill Craft
Blueprint_71_Build 27

Blueprint_72_Type Gear
Blueprint_72_Supplies 2
Blueprint_72_Supply_0_ID 49101
Blueprint_72_Supply_0_Amount 3
Blueprint_72_Supply_1_ID 258
Blueprint_72_Supply_1_Amount 1
Blueprint_72_Tool 76
Blueprint_72_Product 16375
Blueprint_72_Products 2
Blueprint_72_Level 1
Blueprint_72_Skill Craft
Blueprint_72_Build 27

Blueprint_73_Type Gear
Blueprint_73_Supplies 2
Blueprint_73_Supply_0_ID 49101
Blueprint_73_Supply_0_Amount 3
Blueprint_73_Supply_1_ID 259
Blueprint_73_Supply_1_Amount 1
Blueprint_73_Tool 76
Blueprint_73_Product 16375
Blueprint_73_Products 2
Blueprint_73_Level 1
Blueprint_73_Skill Craft
Blueprint_73_Build 27

Blueprint_74_Type Gear
Blueprint_74_Supplies 2
Blueprint_74_Supply_0_ID 49101
Blueprint_74_Supply_0_Amount 3
Blueprint_74_Supply_1_ID 260
Blueprint_74_Supply_1_Amount 1
Blueprint_74_Tool 76
Blueprint_74_Product 16375
Blueprint_74_Products 2
Blueprint_74_Level 1
Blueprint_74_Skill Craft
Blueprint_74_Build 27

Blueprint_75_Type Gear
Blueprint_75_Supplies 2
Blueprint_75_Supply_0_ID 49101
Blueprint_75_Supply_0_Amount 6
Blueprint_75_Supply_1_ID 73
Blueprint_75_Supply_1_Amount 1
Blueprint_75_Tool 76
Blueprint_75_Product 16375
Blueprint_75_Products 4
Blueprint_75_Level 1
Blueprint_75_Skill Craft
Blueprint_75_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Backpacks/Alicepack
Exclude_From_Master_Bundle
